id,tenant_id,site_id,reported_by_id,title,description,location,gps_coordinates,hazard_type,severity,status,recommended_action,photo_urls,video_ids,created_at,updated_at,resolved_at,is_active,weather_conditions
2,1,1,5,Leaking Roof,Water leaking through ceiling in computer lab during rain,"IT Building, Room 203",,structural,high,open,Temporary containment and schedule roof inspection,"[""https://placehold.co/400x300?text=Roof+Leak""]",,2025-05-21 08:05:23.076812,2025-05-22 08:05:23.076812,,t,
3,1,1,6,Damaged Scaffolding,Scaffold on east wing construction has loose connections,East Wing Construction Site,,fall,high,assigned,Replace damaged components before allowing access,"[""https://placehold.co/400x300?text=Damaged+Scaffold""]",,2025-05-20 08:05:23.076812,2025-05-22 08:05:23.076812,,t,
4,1,1,7,Asbestos Suspected,"During renovation, workers found suspicious material that may contain asbestos",Science Building Basement,,chemical,critical,in_progress,"Cease work, isolate area, arrange testing","[""https://placehold.co/400x300?text=Potential+Asbestos""]",,2025-05-18 08:05:23.076812,2025-05-22 08:05:23.076812,,t,
5,1,1,8,Slippery Floor,Recently waxed floor without warning signs,Student Center Main Entrance,,slip_trip_fall,medium,resolved,Place warning signs and use anti-slip treatments,"[""https://placehold.co/400x300?text=Slippery+Floor""]",,2025-05-17 08:05:23.076812,2025-05-22 08:05:23.076812,,t,
6,1,1,9,Blocked Fire Exit,Construction materials blocking emergency exit,Library South Wing,,fire,high,closed,Immediately clear pathway to comply with fire code,"[""https://placehold.co/400x300?text=Blocked+Exit""]",,2025-05-16 08:05:23.076812,2025-05-22 08:05:23.076812,,t,
7,1,1,10,Missing Machine Guard,Table saw in workshop missing safety guard,Engineering Building Workshop,,mechanical,high,open,Install proper guard before equipment use is permitted,"[""https://placehold.co/400x300?text=Missing+Guard""]",,2025-05-21 08:05:23.076812,2025-05-22 08:05:23.076812,,t,
8,1,1,13,Improper Chemical Storage,Incompatible chemicals stored together in lab cabinet,"Chemistry Lab, Room 105",,chemical,medium,assigned,Separate chemicals according to compatibility chart,"[""https://placehold.co/400x300?text=Chemical+Storage""]",,2025-05-19 08:05:23.076812,2025-05-22 08:05:23.076812,,t,
9,1,1,16,Extension Cord Hazard,Multiple extension cords daisy-chained across walkway,Administration Building Lobby,,electrical,medium,in_progress,Install proper outlets and remove trip hazard,"[""https://placehold.co/400x300?text=Extension+Cords""]",,2025-05-18 08:05:23.076812,2025-05-22 08:05:23.076812,,t,
10,1,1,4,Unstable Excavation,Construction trench showing signs of instability with no shoring,New Dormitory Foundation Site,,excavation,critical,open,Install proper shoring immediately and restrict access,"[""https://placehold.co/400x300?text=Unstable+Trench""]",,2025-05-22 08:05:23.076812,2025-05-22 08:05:23.076812,,t,
1,1,1,4,Exposed Electrical Wiring,Multiple exposed wires found in the main hallway ceiling,"Building A, 2nd Floor Hallway",,electrical,critical,in_progress,Immediate isolation and repair by licensed electrician,"[""https://placehold.co/400x300?text=Exposed+Wires""]",,2025-05-22 08:05:23.076812,2025-05-22 08:56:39.366,,t,
